PERIOD,cl_id,MCC,channel_type,currency,TRDATETIME,amount,trx_category,target_flag,target_sum,trx_category_mul,is_weekend,mday,wday,year,ymonth,mcc_group,amount_log,channel_type_type0,channel_type_type1,channel_type_type2,channel_type_type3,channel_type_type4,channel_type_type5,trx_category_BACK_TRX,trx_category_C2C_IN,trx_category_C2C_OUT,trx_category_CASH_ADV,trx_category_CAT,trx_category_DEPOSIT,trx_category_POS,trx_category_WD_ATM_OTHER,trx_category_WD_ATM_PARTNER,trx_category_WD_ATM_ROS
01/08/2017,563,5411,type2,810,2017-08-31 00:00:00,679.0,POS,1,213057.8,-1,False,31,3,2017,8,17.0,6.522092798170152,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/04/2017,5964,5541,type1,810,2017-04-13 00:00:00,1000.0,POS,1,4221.09,-1,False,13,3,2017,4,1.0,6.90875477931522,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/07/2017,3519,5411,type1,810,2017-07-01 00:00:00,761.44,POS,1,228261.12,-1,True,1,5,2017,7,17.0,6.636523816860872,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/06/2017,1581,5814,type2,810,2017-06-26 00:00:00,395.0,POS,1,405385.95,-1,False,26,0,2017,6,15.0,5.981414211254481,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/02/2017,3543,5411,type1,810,2017-02-21 00:00:00,5402.42,POS,1,596120.3,-1,False,21,1,2017,2,17.0,8.594787365414783,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/07/2017,1972,4722,type2,810,2017-07-27 00:00:00,40000.0,POS,1,499.0,-1,False,27,3,2017,7,18.0,10.596659732783579,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/12/2016,9509,5814,type1,810,2016-12-19 00:00:00,261.0,POS,0,0.0,-1,False,19,0,2016,12,15.0,5.568344503761097,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/12/2016,9125,7538,type1,810,2016-12-25 00:00:00,190.0,POS,0,0.0,-1,True,25,6,2016,12,16.0,5.25227342804663,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/08/2017,7787,5812,type1,810,2017-08-21 00:00:00,109.0,POS,0,0.0,-1,False,21,0,2017,8,15.0,4.700480365792417,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/02/2017,2759,5812,type2,810,2017-02-02 00:00:00,140.0,POS,0,0.0,-1,False,2,3,2017,2,15.0,4.948759890378168,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
